date,team,o:team,site,field goals attempted,field goals made,field goal %,free throws attempted,free throws made,free throw %,three pointers attempted,three pointers made,three point %,assists,blocks,rebounds,steals,turnovers,line,margin,ats outcome,total,ou margin,ou outcome,streak
20191031,Pelicans,Nuggets,home,100.75,45.5,45.16929295990241,18.25,13.25,73.53219696969697,45.75,16.75,36.680620423225506,30.75,5.25,46.0,8.0,16.25,4.0,15,1,225.5,3.5,O,-4
20191101,Warriors,Spurs,home,94.25,39.0,41.23588390224127,30.25,26.0,85.5241935483871,34.5,10.5,29.85930735930736,26.25,2.75,46.0,8.75,15.25,7.0,-17,0,223.0,14.0,O,-1
20191101,Celtics,Knicks,home,96.0,39.5,41.23132111807369,25.0,17.75,74.760787935864,36.5,13.0,34.79559593166782,22.0,5.25,46.75,8.5,10.0,-10.5,2,1,212.5,-6.5,U,3
20191101,Pacers,Cavaliers,home,91.5,41.0,44.81484090984033,17.5,14.5,82.46794871794873,24.0,8.75,36.172161172161175,24.5,3.75,39.5,9.0,12.0,-7.5,7,1,211.0,-14.0,U,1
20191101,Knicks,Celtics,away,85.6,36.4,42.40704213844674,26.4,17.8,67.66713352007469,28.4,10.0,36.17487743583405,18.8,5.0,48.0,8.2,18.6,10.5,-2,0,212.5,-6.5,U,-1
20191101,Cavaliers,Pacers,away,86.75,39.75,46.160688562373956,21.75,16.0,74.04060066740823,32.0,10.5,33.597589159733374,21.75,4.75,48.25,5.5,15.5,7.5,-7,0,211.0,-14.0,U,1
20191101,Jazz,Kings,away,77.8,36.8,47.06228825947135,21.6,16.8,74.87454212454213,28.2,10.6,36.7480092996222,20.8,3.6,43.4,7.6,18.2,-5.0,-1,1,213.0,-10.0,U,3
20191101,Rockets,Nets,away,94.25,42.5,44.78568477587275,33.75,27.5,81.9988344988345,47.75,15.5,31.88552188552189,26.75,5.0,46.5,7.25,15.0,-3.5,-7,0,240.5,-1.5,U,3
20191101,Magic,Bucks,home,90.5,35.75,39.656123225988665,18.75,14.75,77.13394062078274,33.0,9.5,28.59956575682382,21.25,5.75,47.75,8.5,11.5,4.5,-32,0,215.0,-1.0,U,1
20191101,Bulls,Pistons,home,94.0,38.6,41.05212021622749,23.0,17.8,77.67585168454734,36.2,10.6,29.179487179487175,21.0,4.6,41.8,9.2,10.6,-3.5,6,1,217.0,1.0,O,-3
20191101,Lakers,Mavericks,away,87.5,40.0,45.5660238589059,24.5,19.5,78.44551282051282,29.0,9.75,33.14252951349726,23.5,8.0,46.0,8.5,14.75,-2.0,9,1,216.5,12.5,O,3
